secid,shortname,regnumber,name,emitent_title,emitent_inn,emitent_okpo
69458, YNDX, Yandex clA, null, PLLC Yandex N.V. class A shs, NL0009805522, 1, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, common_share, stock_shares, TQBR, TQBR
423353775, YNH4, YNDF-3.24, null, Фьючерсный контракт YNDF-3.24, null, 1, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
412506843, YNDX_CLT, YNDX_CLT, null, YNDX_CLT, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
419467109, YNH3, YNDF-3.23, null, Фьючерсный контракт YNDF-3.23, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
420954233, YNH3YNM3, YNH3YNM3, null, YNH3YNM3, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
419675093, YNM3, YNDF-6.23, null, Фьючерсный контракт YNDF-6.23, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
422362795, YNM3YNU3, YNM3YNU3, null, YNM3YNU3, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
415973585, YNU2, YNDF-9.22, null, Фьючерсный контракт YNDF-9.22, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
417281797, YNU2YNZ2, YNU2YNZ2, null, YNU2YNZ2, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
420726903, YNU3, YNDF-9.23, null, Фьючерсный контракт YNDF-9.23, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
423495069, YNU3YNZ3, YNU3YNZ3, null, YNU3YNZ3, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
416117207, YNZ2, YNDF-12.22, null, Фьючерсный контракт YNDF-12.22, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
419775089, YNZ2YNH3, YNZ2YNH3, null, YNZ2YNH3, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
422055113, YNZ3, YNDF-12.23, null, Фьючерсный контракт YNDF-12.23, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
424972305, YNZ3YNH4, YNZ3YNH4, null, YNZ3YNH4, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
411869631, YNH1, YNDF-3.21, null, Фьючерсный контракт YNDF-3.21, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
412921341, YNH1YNM1, YNH1YNM1, null, YNH1YNM1, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
414299553, YNH2, YNDF-3.22, null, Фьючерсный контракт YNDF-3.22, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
415477133, YNH2YNM2, YNH2YNM2, null, YNH2YNM2, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
331126155, YNM0, YNDF-6.20, null, Фьючерсный контракт YNDF-6.20, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
412425363, YNM1, YNDF-6.21, null, Фьючерсный контракт YNDF-6.21, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
413096605, YNM1YNU1, YNM1YNU1, null, YNM1YNU1, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
415103013, YNM2, YNDF-6.22, null, Фьючерсный контракт YNDF-6.22, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
416577045, YNM2YNU2, YNM2YNU2, null, YNM2YNU2, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
331126163, YNU0, YNDF-9.20, null, Фьючерсный контракт YNDF-9.20, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
413031495, YNU1, YNDF-9.21, null, Фьючерсный контракт YNDF-9.21, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
413757425, YNU1YNZ1, YNU1YNZ1, null, YNU1YNZ1, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
411221403, YNZ0, YNDF-12.20, null, Фьючерсный контракт YNDF-12.20, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
413552687, YNZ1, YNDF-12.21, null, Фьючерсный контракт YNDF-12.21, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
414552825, YNZ1YNH2, YNZ1YNH2, null, YNZ1YNH2, null, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, futures, futures_forts, RFUD, null
104648, US98474TAB35, YNDX-18, null, YNDX-18 1.125, US98474TAB35, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, corporate_bond, stock_bonds, RPMO, null
413635407, XS2126193379, YNDX-25, null, Yandex N.V. 0.75 03/03/25, XS2126193379, 0, 38185, Public Limited Liability Company Yandex N.V., 0010034514, null, null, corporate_bond, stock_bonds, RPMO, null
